
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   Frei Puffer  Cache   si   so    bi    bo   In   cs US SY ID WA st
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   Frei Puffer  Cache   si   so    bi    bo   In   cs US SY ID WA st
 0  1     12 173180 430032 2410772    0    0     0  2288 1799 2695  2  3 93  2  0
 2  1     12 121360 431064 2459756    0    0     0  4296 3538 6328 14  9 71  6  0
 2  0     12 255456 432792 2357320    0    0     6  7552 5382 10001  9  9 74  7  0
 1  0     12 231448 432792 2377620    0    0     0  8438 1678 1476  9  4 86  1  0
 0  0     12 199244 432792 2383424    0    0     0   582  558  477  6  1 93  0  0
 2  0     12 135232 433120 2437824    0    0     0  6841 3124 5287  4  6 83  7  0
 2  0     12 138456 433412 2433676    0    0     0  4920 2680 4652 14  8 71  7  0
 0  0     12 274592 436412 2321472    0    0     4 16893 5386 10150  6  9 78  8  0
 0  0     12 275844 436412 2328708    0    0     0   284  620  568  1  1 98  0  0
 0  0     12 260636 436412 2343960    0    0     0   953  537  563  2  1 97  0  0
 0  0     12 254688 436412 2349964    0    0     0  1066  584  733  0  1 98  0  0
 0  0     12 231784 436432 2344524    0    0     0  1583  499  381 11  2 87  0  0
 2  0     12 162224 439076 2403708    0    0     0  4840 3074 5215  4  6 85  5  0
 2  0     12 137080 439612 2425856    0    0     0  2846 2676 4692 15  8 72  5  0
 2  0     12 238588 443044 2344048    0    0     0 12394 5610 10307  7 10 77  5  0
 0  0     12 204324 443056 2356704    0    0     0  2077 1110  702 14  2 83  0  0
 0  0     12 200876 443064 2361204    0    0     0   472  321  283  0  0 99  0  0
